clothing_name,clothing_color,clothing_image_url,Cloth1,Cloth2,category,skin_tone,description,price
Shirt & Plazo,Sky Blue,https://i.pinimg.com/736x/3d/0c/bf/3d0cbf2004c4313d5256011362d1546e.jpg,,,Work Outfit,Very Fair,"Elevate your wardrobe with this elegant sky blue shirt dress featuring a classic collar and button-down front. Crafted from soft, breathable cotton-blend fabric, it offers a relaxed fit that’s perfect for casual brunches, office days, or weekend getaways. Style it with a belt for a flattering silhouette or wear it loose for an effortlessly chic look. Lightweight and versatile, this piece is a must-have for any fashion-forward collection.",1899
Lavender Coat Pant Set with Cami ,Lavender,https://images.meesho.com/images/products/472099480/dpd9k_512.webp,https://images.meesho.com/images/products/472099480/x3ofi_512.webp,https://images.meesho.com/images/products/472099480/i1lzf_512.webp,Work Outfit,Very Fair," Elegant Women's Lavender Coat Pant Set with Cami | Premium Cotton Blend Formal Wear | Stylish Blazer & Straight Pants for Office, Party & Casual Outings",1999
Top&Pant,Soft Pink ,https://i.pinimg.com/736x/95/ec/bc/95ecbc13e303d68378347d0125941f3c.jpg,,,Work Outfit,Very Fair,"Elevate your wardrobe with this elegant sky blue shirt dress featuring a classic collar and button-down front. Crafted from soft, breathable cotton-blend fabric, it offers a relaxed fit that’s perfect for casual brunches, office days, or weekend getaways. Style it with a belt for a flattering silhouette or wear it loose for an effortlessly chic look. Lightweight and versatile, this piece is a must-have for any fashion-forward collection.","2,499"
Sky Blue Dress,Sky Blue ,https://m.media-amazon.com/images/I/51Gf2Q5N9WL.jpg,,,Weekend Outfit,Very Fair,"Turn heads in this stunning navy blue wrap dress designed for both elegance and comfort. Featuring a flattering V-neckline, tie waist, and flowy silhouette, this dress effortlessly combines grace with a modern edge. Made from lightweight, breathable fabric, it’s perfect for dinner dates, formal gatherings, or festive occasions. Pair it with statement earrings and heels for a refined, classy look.","3,199"
Short Dress With Cute Bag ,Lavender,https://i.pinimg.com/736x/a5/1f/1a/a51f1ab9ed7360639e3b0de53ccdae80.jpg,,,Summer Outfit,Very Fair,"Chic and playful, this floral pink summer dress is your go-to choice for sunny days and outdoor adventures. Designed with a flattering fit-and-flare cut, soft puff sleeves, and a square neckline, it adds a feminine touch to your style. Crafted from breathable cotton blend fabric, this dress keeps you cool and stylish whether you're strolling through a garden, brunching with friends, or heading to a picnic. Pair with sandals and minimal jewelry for a fresh, effortless look.","1,599"
Smocked Midi Dress,Brown,https://i.pinimg.com/736x/c5/f7/7d/c5f77d906d816d605c740c053c6ffd51.jpg,,,Summer Outfit,Very Fair,This pretty dress is made out of soft cotton camric fabric and is beautifully designed . It has gathers on the front for perfect fitting and a puffed shoulder sleeve with bell sleeves . Also has a dawstring at the front .,700
Cindrella Mint Green dress,Mint Green,https://emprall.com/cdn/shop/products/image_fbbe2971-f184-4ae1-a76d-e205e3a0bd05.jpg?v=1679314937,,,Summer Outfit,Very Fair,This pretty dress is made out of soft cotton camric fabric and is beautifully designed . It has gathers on the front for perfect fitting and a puffed shoulder sleeve with bell sleeves . Also has a dawstring at the front .,900
Light Gray Dress,Light Gray,https://i.pinimg.com/736x/b5/f0/37/b5f0374cb73b70c2df19f0b5216ba248.jpg,,,Party Wear Outfir,Very Fair,"Make a bold statement with this elegant maroon bodycon dress featuring a sleek silhouette and stylish shoulder cut-outs. Tailored to hug your curves in all the right places, this dress is made from stretchable, soft-touch fabric for both comfort and confidence. Ideal for evening parties, cocktail events, or special dinners, it's the perfect blend of sophistication and allure. Just add heels and a clutch to complete your glam look.","3,499"
Kurta & Tauser with Dupatta,Ruby Red,https://i.pinimg.com/736x/6d/26/0c/6d260ce7cdac369b3147e7734b7a185b.jpg,,,Traditional Outfir,Very Fair,"Step into effortless style with this earthy olive green A-line dress, crafted for comfort and timeless charm. Featuring a button-down front, subtle puff sleeves, and a cinched waist, this dress flatters every silhouette. Made from soft, breathable fabric, it's perfect for workwear, lunch dates, or casual strolls. Style it with boots or flats and minimalist accessories for a refined, natural look.","1,599"
Single-Breasted Longline Overcoat,Black,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSNfrmfS0UWyw5j8152YrWMFg942WSErhC9ciKvw4yclfcU9gZLJh9QjvJ7XMSo3h6gtWMbfXkQJ3Fsg3VGoQ4kRRtmzqV63hw35HXc3sw,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSsP9KUAyHLJbhBRsx3rhFCWqK9LQj3ZfpVU9DbPX3eNd4WaHLlwOtLBOukS4TLEgbcflBDsiJklyv_OxZPzHbAqQ8VteTro6EDDFfR4iM,,Winter Outfir,Very Fair,"Black solid single-breasted overcoat, has mock collar, long sleeves, Button closure, two pockets, a straight hem","3,199"
Lehnga,Soft Pink ,https://i.pinimg.com/736x/0f/21/5a/0f215a5ef174be656150a8459a39af07.jpg,,,Bridal Lehnga,Very Fair,Soft Pink Lehnga ,"15,999"
Sari,White ,https://i.pinimg.com/736x/dd/c4/26/ddc4262361db4b1021f32911d0f6fffd.jpg,,,Sari,Very Fair,"Minimal, bold, and undeniably chic — this cocoa brown bodycon midi dress is made for moments that matter. With a sculpted fit, sleeveless cut, and an elegant thigh-high slit, it perfectly blends confidence and class. From rooftop evenings to candlelit dinners, this look never misses.","1,102"
Shirt & Pant,Peach ,https://i.pinimg.com/736x/3b/5e/a4/3b5ea44a762a408244e3a44c74ed41e9.jpg,,,Work Outfit,Fair,"Add a pop of color to your wardrobe with this vibrant coral orange sleeveless dress, designed for sunny days and spontaneous outings. With its breezy A-line silhouette, gathered waist, and square neckline, this dress offers both style and comfort. Crafted from lightweight, breathable fabric, it's perfect for brunches, beach days, or casual evening strolls. Just throw on some sandals and a sunhat, and you're good to go!","2,899"
Coral Dress,Coral ,https://i.pinimg.com/736x/21/60/a8/2160a8f3df994445994afc43850be8ff.jpg,,,Weekend Outfit,Fair,"Grace meets charm in this soft blush pink midi dress, tailored with a subtle flared hem and delicate waist detailing. The sleeveless design and flowy fabric create a flattering silhouette perfect for springtime outings, garden parties, or date nights. Made from lightweight, breathable material, it ensures all-day comfort with an effortlessly feminine touch. Pair it with nude heels or flats and minimal jewelry for a polished, graceful look.","3,000"
